ParcelSize,Unit,n,LowBoundary,HighBoundary,Statistic,Grass,Trees ,Cropland
0-0.404,ha,4590,0,0.404,mean,0.06,0.11,0.01
0-0.404,ha,4590,0,0.404,sd,0.05,0.04,0.02
0.405-0.809,ha,1353,0.405,0.809,mean,0.18,0.25,0.03
0.405-0.809,ha,1353,0.405,0.809,sd,0.12,0.1,0.05
0.810-1.219,ha,444,0.81,1.219,mean,0.34,0.41,0.08
0.810-1.219,ha,444,0.81,1.219,sd,0.22,0.18,0.11
1.220-1.619,ha,189,1.22,1.619,mean,0.48,0.61,0.13
1.220-1.619,ha,189,1.22,1.619,sd,0.3,0.24,0.19
1.620-2.429,ha,147,1.62,2.429,mean,0.58,0.89,0.26
1.620-2.429,ha,147,1.62,2.429,sd,0.42,0.38,0.39
2.430-3.649,ha,92,2.43,3.649,mean,0.85,1.2,0.55
2.430-3.649,ha,92,2.43,3.649,sd,0.65,0.56,0.75
3.650-4.459,ha,53,3.65,4.459,mean,1.04,1.29,1.35
3.650-4.459,ha,53,3.65,4.459,sd,0.9,0.63,1.08
4.460-8.099,ha,47,4.46,8.099,mean,1.6,1.89,1.66
4.460-8.099,ha,47,4.46,8.099,sd,1.3,0.84,1.41
8.1+,ha,92,8.1,,mean,4.9,7.64,3.31
8.1+,ha,92,8.1,,sd,5.47,4.63,3.58
